Time_s,Longitude_deg,Latitude_deg,Altitude_m,Velocity_U_mps,Velocity_V_mps,Velocity_W_mps
0,279,49,25000,0,0,0
3.15544E-30,279,49,25000,0,0,0
4.42083E-13,279,49,25000,-5.22709E-15,2.01276E-14,1.15088E-17
4.42083E-13,279,49,25000,-5.2271E-15,2.01276E-14,1.15089E-17
0.005301624,279,49,25000,-6.26853E-05,0.000241377,1.38018E-07
0.010603247,279,49,25000,-0.000125353,0.000482688,2.76036E-07
0.015904871,279,49,25000,-0.000188003,0.00072393,4.14052E-07
0.039142305,279,49,25000,-0.000462408,0.001780559,1.01898E-06
0.062379739,279,49,25000,-0.000736478,0.002835901,1.62388E-06
0.085617173,279,49,25000,-0.001010209,0.003889936,2.22876E-06
0.108854607,279,49,25000,-0.0012836,0.004942661,2.83362E-06
0.183924174,279,49.00000001,25000,-0.002164482,0.008334606,4.78748E-06
0.25899374,279,49.00000001,25000,-0.003041836,0.011712966,6.74109E-06
0.334063306,279,49.00000002,25000,-0.003915682,0.015077819,8.69442E-06
0.409132873,279,49.00000003,25000,-0.004786041,0.018429247,1.06475E-05
0.6,279,49.00000007,25000,-0.006983396,0.026890436,1.56117E-05
0.6,279,49.00000007,25000,-0.006983396,0.026890436,1.56117E-05
0.6,279,49.00000007,25000,-0.006983396,0.026890436,1.56117E-05
0.622938207,279,49.00000008,25000.00001,-0.00724587,0.027901125,1.62082E-05
0.645876414,279,49.00000008,25000.00001,-0.007508034,0.028910621,1.68046E-05
0.668814621,279,49.00000009,25000.00001,-0.007769882,0.029918899,1.7401E-05
0.691752828,279,49.0000001,25000.00001,-0.008031414,0.03092596,1.79973E-05
0.783505656,279,49.00000012,25000.00001,-0.009074626,0.034942982,2.03824E-05
0.875258483,278.9999999,49.00000015,25000.00001,-0.010112935,0.03894112,2.27669E-05
0.967011311,278.9999999,49.00000019,25000.00001,-0.01114629,0.042920184,2.51508E-05
1,278.9999999,49.0000002,25000.00001,-0.011516612,0.044346154,2.60077E-05
1.042936137,278.9999999,49.00000022,25000.00001,-0.011997268,0.046196984,2.71229E-05
1.085872274,278.9999999,49.00000024,25000.00002,-0.012476875,0.048043771,2.82379E-05
1.12880841,278.9999999,49.00000026,25000.00002,-0.012955413,0.049886443,2.93528E-05
1.278744148,278.9999999,49.00000033,25000.00002,-0.014618852,0.056291728,3.32449E-05
1.428679885,278.9999998,49.00000041,25000.00003,-0.016269745,0.062648705,3.71352E-05
1.578615622,278.9999998,49.0000005,25000.00003,-0.017907984,0.068956955,4.10233E-05
1.728551359,278.9999998,49.00000059,25000.00004,-0.019533625,0.0752167,4.49092E-05
2,278.9999997,49.00000079,25000.00005,-0.022447402,0.086436588,5.19363E-05
2.079028731,278.9999997,49.00000085,25000.00006,-0.023286303,0.089666889,5.3981E-05
2.158057461,278.9999996,49.00000092,25000.00006,-0.024121926,0.09288457,5.60249E-05
2.237086192,278.9999996,49.00000099,25000.00007,-0.024954221,0.096089436,5.80681E-05
2.539803066,278.9999995,49.00000127,25000.00008,-0.028114233,0.108257503,6.58875E-05
2.842519939,278.9999994,49.00000158,25000.00011,-0.031227735,0.120246488,7.36949E-05
3,278.9999993,49.00000175,25000.00012,-0.032829119,0.126412851,7.77512E-05
3.131869239,278.9999992,49.00000191,25000.00013,-0.0341574,0.131527593,8.11441E-05
3.263738478,278.9999992,49.00000207,25000.00014,-0.035477269,0.136609953,8.45344E-05
3.395607717,278.9999991,49.00000223,25000.00015,-0.036788627,0.141659543,8.79218E-05
3.759460215,278.9999989,49.00000272,25000.00018,-0.040367772,0.155441606,9.26147E-05
4,278.9999988,49.00000307,25000.0002,-0.042700557,0.164424375,9.03649E-05
4.178105731,278.9999987,49.00000334,25000.00022,-0.044405683,0.170990249,8.45161E-05
4.320478999,278.9999986,49.00000356,25000.00023,-0.045759323,0.176202669,7.75796E-05
4.462852267,278.9999985,49.00000379,25000.00024,-0.047103734,0.181379564,6.83254E-05
4.605225535,278.9999984,49.00000403,25000.00025,-0.048439017,0.186521315,5.66832E-05
5,278.9999981,49.00000472,25000.00026,-0.052099218,0.200615595,1.2346E-05
5.166010145,278.999998,49.00000503,25000.00026,-0.053615232,0.206453296,-1.29974E-05
5.29473534,278.9999979,49.00000527,25000.00026,-0.054783559,0.210952168,-3.4924E-05
5.423460535,278.9999978,49.00000552,25000.00025,-0.055944839,0.215423909,-5.91532E-05
5.55218573,278.9999977,49.00000577,25000.00024,-0.057099143,0.219868796,-8.57344E-05
6,278.9999974,49.00000669,25000.00017,-0.061066042,0.235144184,-0.00019588
6.151272898,278.9999972,49.00000701,25000.00014,-0.0623853,0.240224281,-0.000240773
6.26977994,278.9999971,49.00000727,25000.00011,-0.063413118,0.244182125,-0.000278217
6.388286982,278.999997,49.00000754,25000.00007,-0.064435353,0.248118482,-0.000317955
6.506794024,278.9999969,49.0000078,25000.00003,-0.065452057,0.252033544,-0.000360023
6.965977624,278.9999965,49.00000888,24999.99982,-0.069344323,0.267021677,-0.000544234
7,278.9999965,49.00000896,24999.9998,-0.069629607,0.26812024,-0.000559351
7.134683601,278.9999963,49.00000929,24999.99971,-0.070752551,0.272444431,-0.000621964
7.245179112,278.9999962,49.00000956,24999.99964,-0.071669233,0.275974359,-0.000675594
7.355674622,278.9999961,49.00000984,24999.99956,-0.072581377,0.279486822,-0.00073151
7.466170133,278.999996,49.00001012,24999.99947,-0.073489018,0.282981949,-0.000789743
